Heading,Review
Awesome,Really comfy wearing at affordable prices .... brought for my hubby.... really liked it ......
good quality...nice product...great looks,Buying this product made me feel good.when I Saw the reviews I was little bit confused ? but after it was delivered it was more than my expectation ..good amazon...awesome deals quality product
Nice pair of loafers from sparx the build quality is ...,Nice pair of loafers from sparx the build quality is good if u r looking for good review I promise this will be the good selection go for it
Daddy loves it.,I got it for my daddy and he really love these. So happy with the purchase.
Cool Sneakers,I am using this Sneakers from last 2 months it's really cool and comfortablethe color is better than expected color?So feeling Satisfied...?
Nice product. They are a bit heavy but they ...,Nice product. They are a bit heavy but they look awesome when i wear them.They are comfortable in walking.
Lovely shoes,Thank you amazon for lovely shopping experience. Product is worth for money. Got these for 650/- and i am totally satisfied with the product quality.
Good,Nice shoes in low price
Duplicate product.... Shoes are stinking. ...,Duplicate product....Shoes are stinking....
... problem with base or the surface of shoes is poor because it's sleepy,Only problem with base or the surface of shoes is poor because it's sleepy. It should be rubber so it will be more stable / non sleepy while running.
sparx logo was upside down not as shown in pic,quality is decent but the sparx logo was upside down so i returned. i think i got fake product from the seller. purchase from cloudtail seller only
Awesome quality product received.,Awesome quality product received. Good packaging.
"its a very comfortable, stylish shoe","its a very comfortable, stylish shoe. the only drawback this product has is its slightly big for the feet and without socks the feet gets sweaty............otherwise a great product."
Trendy shoe,It's really comfortable and ready as well. If you walk a lot in a day then this is good because your feets don't get pained
Best in its class!!,Build quality is great!! Quite bigger compared to size.... But mainly I used it for an year!! Still usable... Quality ??
Five Stars,Best shoes under @799..ToughStylishComfortable100% satishfied with sparks..
Shoe is good and need more quality for this as per customer ...,Shoe is good and need more quality for this as per customer expectation. The sole is getting loose and looks poor quality.
Quality best product,nice and better product quality is best awsmThanks Amazon.
Five Stars,It is good product
Guys it's really good. It can compete with Vans shoes which costs ...,"On the Price point what we get it , Guys it's really good.It can compete with Vans shoes which costs around more than 1500."
nice loffers,color is slightly light what shown in pic but no issue may be some photographic effect allover good short
Four Stars,Good product but need a lot a maintenance
Four Stars,Shoes are in good quality but packing is not well.
Fully satisfied,Very nice product! Fully satisfied. No colour and size problems. Same as the picture.
Worth money & time Frist time received rejected piece & ...,Worth money & timeFrist time received rejected piece & next time replaceSo I suggest dot purchase this shose
worth of money and looking beautiful thanks Amazon,Fast delivery...worth of money and looking beautiful thanks Amazon
Super fitting I already have 1 pair of same bt ...,Thank you amozon for your on time delivery...  Super fitting I already have 1 pair of same bt in green colour... Jst wanna try dis black colour same fitting same comfort!!!!
Three Stars,Definetely the product is good but they are  emptying old stock.  Packing box fully torn  Sole not stucked properly.
and the material and design is also good..,delivery and fit of the product is as expected ....and the material and design is also good...comfortable for daily use ........
Very good shoes I like it Thanks Amazon for,Very good shoesI like itThanks Amazon for discount
Four Stars,Good shooe bt the internal sole connected was dechached from main sole
Good product at affordable price,Cool.Easy washable.Fresh look with every wash.
Four Stars,Good for what I paid
"quialty good, expected and normal price","Supberb Shoes, quialty good, expected and normal price, Next tym again I will be want to buy same prudect on here ,Thank Amazon."
Review,The soul of the shoe is not so proper and does not meet the expected quality.
Good Shoe. 3 star.,Nice shoe. Fit as expected.Inside sole pasting is not good.
Everything is good. Quality as expected under 700,Product quality as expected. Everything is good.Quality as expected under 700.
and product also very good.. i like,superb delivery by amazon....and product also very good..i like it
One Star,They don't even do proper quality check
Can be bought,It was good....but somebody stole it..
Five Stars,Expectation has fullfilled
Nice shoes to wear,This shoes is very comfortable to wear long time.
Five Stars,Simply superb shoes??. In Rs 700. Range.Go For it
Five Stars,sparks rocks always.
Four Stars,"Awesome shoes, color is awesome ."
Good one,Awesome product...the pasting is visible so minus 1 star.
Two Stars,Colour is too dark as shown...cheaper quality
Four Stars,Product is good... Value for money...
Sparx Products are always good !,Sparx Products are always good !
Four Stars,Good Product
"Good product, very comfortable ????","Good product ,very comfortable ????"
Three Stars,Gud
Three Stars,product is not so good but ok ok .....
Love it,Same as in photo graph...love it
Five Stars,Value for money thanks Amazon .....
Nice,Nice product but some fitting problemOverall nice
Good product. Quality is good,Good product . Quality is good
Three Stars,"Nice look, but the comfort level is poor and not as expected or compared with products"
Five Stars,Awsome product... before time delivery...??
Five Stars,Nice product. I liked it very much.
Five Stars,It is good shoes and it gives nice look
Two Stars,Very good product
One Star,Comfortable shoes
Four Stars,Good # I am happy
Thanks,Original products
Five Stars,Good product nice
Five Stars,Nice product
Four Stars,Good
Four Stars,Nice product
Four Stars,Perfect size
Its ok But not match in colour,Its okBut not match in colour
Three Stars,Gud
Five Stars,Good
Three Stars,OK
Three Stars,Worth using comfort fr my leg weightless
Four Stars,good product :)
Five Stars,Supper...
Good,Good
Must buy.,Amazing looks and high quality at this price.
Five Stars,AWESOME SHOES DECTO LIKE IMAGE
Four Stars,It is good product.
Five Stars,Nice for the price it comes
Five Stars,Awesome product
Four Stars,Nice product within price range.
Four Stars,Suupbbbb
One Star,Style is not good
"Good, i liked","Good,i liked it"
Four Stars,Product as expected.
Good seller...,Nice shoes.
Five Stars,Fantastic..???
Five Stars,Superb product
Five Stars,fit and comfert
Four Stars,Nice
Five Stars,Great
Good product,Good product
Not comfort,Size is large
Five Stars,Awesome quality
Superb,Superb
kk,Good
Four Stars,Nice product
Shoes are good. But the delivery agent didn't deliver it at ...,Shoes are good . But the delivery agent didn't deliver it at home although I give home address.
"Excellent quality, fitting and very prompt delivery.","Shoes are very comfortable and proper fit. Though shoe box was damaged in transit but shoes were in excellent condition. Thanks for Amazon Shoe bag, which is very nice. Please don't stick tape on shoe bag, it ruins the bag."
otherwise good choice.,"Product delivered on time, the color & look are the same as shown in the picture.The only issue is right shoe is little loose and not fitting properly.otherwise good choice."
Liked it!,Fits as expected. Comfortable. looks good enough.It does make feet sweaty if wore without socks.
Good quality and very comfortable,Very good and comfortable for daily wear. Fits perfectly to the foot size.
Beautiful product,"The product looks good. However,  when you see the area between green body and orange line,  you will find a lot of adhesive stains.  Finger crossed on life of this product."
duplicate,vr bad quality and this is the 1st time i hav seen both shoe shape and logo is different and i don't feel its original
Form my side it is good product but amazon delivery was very slow i choosed ...,Form my side it is good product but amazon delivery was very slow i choosed amazon for frist time I disappointed with its delivery so bad
Five Stars,Genuine product good quality
Four Stars,Pretty good
Four Stars,Best
Best quality,Product is good. Very fast delivery and quality of shoes is best. It is original SPARX shoes.
Five Stars,Amazing and too comfortable to wear. highly recommended.
Awesome product...,Packing is all right....and product is fine
Fitting problem but quality at its best,I want to replacement or return it..cause it too large to fit....comfort n quality is best at all.
Five Stars,Good product no problem at all.
One Star,Very poor quality sole. I will recommend to go with any other brand like Puma or Reebok
Excellent...,Super deal at 649/-... Fits properly... Lukin cool... Go for it
Good,Color not as shown
Five Stars,Nice Product
Five Stars,good
- fine Quality - ok/can improve Design -Have to improve I ...,Fit.  - fineQuality - ok/can improveDesign -Have to improveI can't say now it can be used regular or not
Five Stars,Its comfortable shoes.......... awesome
Perfect for all,Awesome shoes... totally worth. Don't worry about other bad reviews. This is totally an excellent product.
Amazing Shoe,Very Comfortable.....I ordered Size 8 first but it was tight.size 9 is good and very comfortable.  worth of money
Four Stars,THIS SHOES IS COMFORTABLE AND GOOD AS PER MY EXPECTION
PICTURE SHOWN IN PORTAL SAME AS ACTUAL,VALUE FOR MONEY DELIVERS BY AMAZONE FOR THIS !
Go for it !! Just mindblowing !,"The padding inside the shoes is just amazing, it's soft as awesome !!Looking for a loafer , go for it !"
Go for it,Good product
awesome shoe very good packing and i love the paper ...,awesome shoe very good packing and i love the paper bag with shoe it is stylish and i love the color
Five Stars,Nice product
Five Stars,small
Very comfortable to wear,Awsm product.. Very comfortable to wear...
Five Stars,Very comfortable to wear. Awesome shoes
One Star,Shoes color is fade dont buy this shoes plz
Nice look And Comfortable footwear,Nice product with reasonable price and Sparx Quality Received by Amazon.Thanks.
Five Stars,very nice product as per expectation  and fulfil want
Go fot it,Itz gud ..
Never gonna buy sparx products by now,The product is poor and colour got dull by the day...
Five Stars,Awesome product n i just love it
Four Stars,Good product and looking nice. And fitted perfectly
